lat,long,nombre_act,nom_estab,raz_social,per_ocu,tipo_vial,nom_vial,edificio,edificio_e,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,AGEB_int,geohash5km,tipoUniEco,fecha_alta
25.65765507,-100.3918842,Restaurantes que preparan otro tipo de alimentos para llevar,COMIDAS CASERAS DOÑA MARY,,0 a 5 personas,CALLE,LAZARO GARZA AYALA,,,COLONIA,PALO BLANCO,,,,66230,19,NuevoLeon,19,San Pedro Garza García,1,San Pedro Garza García                                                                                        ,153,36,1.90E+12,9u89g,Fijo,2014-12
25.58839051,-100.0005814,Restaurantes con servicio de preparación de pescados y mariscos,OSTIONERIA SIETE MARES,,0 a 5 personas,CALLE,MUTUALISMO,,,COLONIA,CADEREYTA JIMENEZ CENTRO,,,,67480,19,NuevoLeon,9,Cadereyta Jiménez,1,Cadereyta Jiménez                                                                                             ,509,5,1.90E+12,9u8cs,Fijo,2010-07
25.65950793,-100.2606013,Restaurantes con servicio de preparación de tacos y tortas,TACOS CHARLY,,0 a 5 personas,AVENIDA,PASEO DE LAS AMERICAS,,,COLONIA,FRACCIONAMIENTO RINCON DEL CONTRY,,,,67140,19,NuevoLeon,26,Guadalupe,1,Guadalupe                                                                                                     ,1160,5,1.90E+12,9u89y,Fijo,2010-07
25.68918134,-100.2568936,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,JAC AND RAY DESDE 1975,NUBO ALIMENTOS SA DE CV,6 a 10 personas,AVENIDA,MIGUEL ALEMAN,CENTRO Y PLAZA COMERCIAL,PLANTA BAJA,COLONIA,LINDA VISTA,CENTRO Y PLAZA COMERCIAL,PLAZA MAGNOLIAS,30 31,67130,19,NuevoLeon,26,Guadalupe,1,Guadalupe                                                                                                     ,162,24,1.90E+12,9u8dn,Fijo,2019-11
25.78286999,-100.3188082,Restaurantes con servicio de preparación de tacos y tortas,TACOS MINGO,,0 a 5 personas,CALLE,VILLAS DE BRASIL,,,COLONIA,ROBLE NUEVO,,,,66056,19,NuevoLeon,21,General Escobedo,1,Ciudad General Escobedo                                                                                       ,823,18,1.90E+12,9u8dt,Fijo,2019-11
25.6880229,-100.31311,Servicios de preparación de otros alimentos para consumo inmediato,LA FAMOSA,,0 a 5 personas,CALLE,JUAN GUZMAN,,,COLONIA,SARABIA,,,,64490,19,NuevoLeon,39,Monterrey,1,Monterrey                                                                                                     ,1258,10,1.90E+12,9u8dj,Fijo,2019-11
23.67598901,-100.1840861,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",HOTDOG Y HAMBURGUESAS,,0 a 5 personas,CALLE,PADRE SEVERIANO MARTINEZ,,,COLONIA,CENTRO PRIMER SECTOR,,,,67900,19,NuevoLeon,14,Doctor Arroyo,1,Doctor Arroyo                                                                                                 ,528,22,1.90E+12,9u0y8,Fijo,2014-12
25.75242612,-100.2418872,Servicios de preparación de otros alimentos para consumo inmediato,CLUB DE NUTRICION HERBALIFE,,0 a 5 personas,AVENIDA,FUNDIDORA,,,COLONIA,NUEVO MEZQUITAL,,,,66632,19,NuevoLeon,6,Apodaca,1,Ciudad Apodaca                                                                                                ,1401,24,1.90E+12,9u8dw,Fijo,2019-11
25.81459867,-100.4026696,Restaurantes con servicio de preparación de antojitos,VENTA DE GORDITAS,,0 a 5 personas,CALLEJON,ACUÑA,,,COLONIA,MONCLOVA PRIMER SECTOR,,,,66085,19,NuevoLeon,21,General Escobedo,137,Monclova Primer Sector                                                                                        ,842,15,1.90E+12,9u8dg,Fijo,2019-11
25.67641875,-100.4609274,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",JUGOS Y LICUADOS EL GALLITO INGLÉS,,0 a 5 personas,CALLE,VICENTE GUERRERO,,,COLONIA,SANTA CATARINA CENTRO,,,,66350,19,NuevoLeon,48,Santa Catarina,1,Ciudad Santa Catarina                                                                                         ,210,11,1.90E+12,9u8d1,Fijo,2014-12
